Model,Accuracy,Precision,Recall,F1-Score
resnet50,0.3648068669527897,0.345521669353771,0.3648068669527897,0.29128173782478717
vgg16,0.8369098712446352,0.8660253546121607,0.8369098712446352,0.8416888315034073
inceptionv3,0.9313304721030042,0.9328553557441465,0.9313304721030042,0.9318947420867146
efficientnet,0.1459227467811159,0.021293448028145666,0.1459227467811159,0.037163845622156855
